Protein,Low Acetate,High Acetate,Higher Acetate,High Fomrate,WTvsAchrs48,WTvsAchr144,WTvsH2hr,WTvsH2hr144
GSU2149,1.624671846,0.914087458,1.600849093,1.600849093,2.296034342,-1.376308321,1.557570114,2.635644945
GSU2151,-0.227425988,-0.698572349,-1.319806658,-1.319806658,0,0,0,0
GSU2152,-0.017575217,0.150293275,-0.662372892,-0.662372892,1.839245178,0.542827506,-3.151350576,1.843414849
GSU2153,1.49706208,-0.146955563,-0.012188861,-0.012188861,0,0,0,0
GSU2154,2.30656102,-0.140958087,0.132338074,0.132338074,3.270284018,2.131159508,-2.588051164,0.474579966
GSU2155,1.112298886,-0.456180158,0.329724959,0.329724959,0,0,0,0
GSU2156,1.553622166,1.709265356,-0.034513324,-0.034513324,0,0,0,0
GSU2157,0.216221388,0.221379828,-1.363408534,-1.363408534,0,0,0,0
GSU2158,1.073610212,0.316185868,0.242957488,0.242957488,0,0,0,0
GSU2159,-0.987975735,0.124931364,-2.00459475,-2.00459475,0,0,0,0
GSU2160,0.695987287,0.279464252,0.448598232,0.448598232,0.5597439,2.726928208,-0.354874772,-1.341265967
GSU2161,0.264195221,-0.33636327,-0.168624089,-0.168624089,0,0,0,0
GSU2162,1.239851168,0.886584995,-0.496366194,-0.496366194,0,0,0,0
GSU2163,1.708468084,2.400372794,0.803028623,0.803028623,0,0,0,0
GSU2164,0.861798725,-0.014258902,-0.110844295,-0.110844295,1.750429188,1.229156872,1.008139651,-1.835506817
GSU2165,0.192457703,-0.803439541,-0.278736262,-0.278736262,0,0,0,0
GSU2166,1.693690622,-0.229347974,-0.037393284,-0.037393284,0,0,0,0
GSU2167,-0.245359294,-1.250342611,-0.235843722,-0.235843722,0,0,0,0
GSU2168,0.205356799,0.163054544,-0.002605434,-0.002605434,0,0,0,0
GSU2170,-0.133731095,-0.109520432,0.91885202,0.91885202,1.578480174,1.782671051,-1.824536145,-3.301267214
GSU2171,-0.332958661,-0.384357889,-0.130914545,-0.130914545,0.534236783,0.077445614,0.259459317,-2.33498147
GSU2172,-0.224988319,-0.451031947,0.335245247,0.335245247,-0.223910478,1.409564854,-0.304469077,-0.124334007
GSU2174,1.151267769,1.191655942,-0.403558891,-0.403558891,-0.980185969,-4.636497676,0.298452381,-2.266273243
GSU2175,1.634185523,1.385542417,1.265322739,1.265322739,-1.380995276,-4.4722079,-0.398814074,-4.010155535
GSU2176,1.327985707,1.070482237,1.446066538,1.446066538,-0.575455125,-2.124000218,0.196705744,-4.010155535
GSU2177,-0.3703894,0.055897611,0.288883881,0.288883881,0.937104435,-4.14986736,-1.060747729,-1.014724381
GSU2178,0.772383142,0.486110014,0.53161738,0.53161738,4.263896249,-6.470844157,-0.865678395,-1.82544656
GSU2179,-1.103214804,-0.810220777,-1.068904879,-1.068904879,0,0,0,0
GSU2180,0.313270194,0.055238088,0.595920118,0.595920118,-2.27829829,-5.140615986,0.049926293,1.363376727
GSU2181,-0.584537053,-0.13076143,0.980432108,0.980432108,0,0,0,0
GSU2182,-0.514289227,-0.227189584,-0.277545327,-0.277545327,-0.30459142,-1.404904762,1.798432116,0.496661888
GSU2183,-1.095429215,-1.200341894,-0.871181863,-0.871181863,-6.12715577,0.711523356,0.460452449,0.457099254
GSU2184,0.630013114,0.226626668,-0.101157561,-0.101157561,0.343142779,0.520898861,-2.265439117,0.0000941
GSU2186,0.330990865,-0.013713866,-0.882371724,-0.882371724,1.312054205,-0.231928675,-3.56065959,0.230305917
GSU2187,0.77596944,0.662348811,-0.066760403,-0.066760403,0.57189609,-1.473907273,0.736469602,0.333492676
GSU2188,0.460340151,0.179933509,0.1111393,0.1111393,-0.216423714,-1.410673612,-1.214983731,1.348539336
GSU2189,0.171478825,-0.021749121,-0.015018771,-0.015018771,-2.182898013,-0.350439241,-6.694592645,1.808227092
